scenario,operation,metric,samples,mean,median,stddev,min,max
LUKS,read,system_kernel_cpu_percent,5,41.390000,42.110000,4.315397,35.240000,47.220000
VeraCrypt,write,system_kernel_cpu_percent,5,30.550000,31.180000,2.456491,26.610000,32.580000
VeraCrypt,read,system_kernel_cpu_percent,5,50.598000,48.410000,4.878060,47.830000,59.280000
gocryptfs,write,system_kernel_cpu_percent,5,10.100000,10.210000,2.272191,7.580000,12.760000
gocryptfs,read,system_kernel_cpu_percent,5,9.440000,9.070000,1.550661,7.550000,11.660000
Sem criptografia,write,system_cpu_seconds_per_gib,5,1.228000,1.260000,0.213822,0.960000,1.440000
Sem criptografia,read,system_cpu_seconds_per_gib,5,0.564000,0.580000,0.225122,0.360000,0.920000
LUKS,write,system_cpu_seconds_per_gib,5,3.488000,2.700000,1.318454,2.340000,5.180000
LUKS,read,system_cpu_seconds_per_gib,5,1.424000,1.180000,0.476109,0.940000,2.080000
VeraCrypt,write,system_cpu_seconds_per_gib,5,4.948000,5.260000,1.353263,2.740000,6.160000
VeraCrypt,read,system_cpu_seconds_per_gib,5,1.588000,1.440000,0.383823,1.340000,2.260000
gocryptfs,write,system_cpu_seconds_per_gib,5,6.128000,5.060000,3.805985,2.640000,11.420000
gocryptfs,read,system_cpu_seconds_per_gib,5,3.216000,2.800000,1.562396,1.700000,5.840000
Sem criptografia,write,system_user_cpu_seconds_per_gib,5,0.488000,0.440000,0.094446,0.420000,0.640000
Sem criptografia,read,system_user_cpu_seconds_per_gib,5,0.212000,0.240000,0.093381,0.120000,0.340000
LUKS,write,system_user_cpu_seconds_per_gib,5,1.076000,0.980000,0.468487,0.640000,1.660000
LUKS,read,system_user_cpu_seconds_per_gib,5,0.296000,0.220000,0.116962,0.200000,0.460000
VeraCrypt,write,system_user_cpu_seconds_per_gib,5,1.296000,1.220000,0.440545,0.680000,1.780000
VeraCrypt,read,system_user_cpu_seconds_per_gib,5,0.260000,0.240000,0.040000,0.220000,0.320000
gocryptfs,write,system_user_cpu_seconds_per_gib,5,4.404000,3.480000,3.078357,1.620000,8.700000
gocryptfs,read,system_user_cpu_seconds_per_gib,5,2.228000,1.940000,1.249528,1.040000,4.340000
Sem criptografia,write,system_kernel_cpu_seconds_per_gib,5,0.740000,0.740000,0.172627,0.540000,1.000000
Sem criptografia,read,system_kernel_cpu_seconds_per_gib,5,0.352000,0.340000,0.135351,0.240000,0.580000
LUKS,write,system_kernel_cpu_seconds_per_gib,5,2.412000,2.060000,0.881431,1.600000,3.520000
LUKS,read,system_kernel_cpu_seconds_per_gib,5,1.128000,0.960000,0.377783,0.740000,1.700000
VeraCrypt,write,system_kernel_cpu_seconds_per_gib,5,3.652000,4.040000,0.947692,2.060000,4.500000
VeraCrypt,read,system_kernel_cpu_seconds_per_gib,5,1.328000,1.220000,0.368673,1.100000,1.980000
gocryptfs,write,system_kernel_cpu_seconds_per_gib,5,1.724000,1.580000,0.728752,1.020000,2.720000
gocryptfs,read,system_kernel_cpu_seconds_per_gib,5,0.988000,0.880000,0.316417,0.660000,1.500000
Sem criptografia,write,process_user_cpu_seconds,5,0.001402,0.001020,0.000559,0.000955,0.002017
Sem criptografia,read,process_user_cpu_seconds,5,0.000527,0.000000,0.000729,0.000000,0.001462
LUKS,write,process_user_cpu_seconds,5,0.000805,0.000966,0.000838,0.000000,0.001999
LUKS,read,process_user_cpu_seconds,5,0.001596,0.001877,0.000591,0.000943,0.002151
VeraCrypt,write,process_user_cpu_seconds,5,0.002647,0.002951,0.001182,0.001010,0.004008
VeraCrypt,read,process_user_cpu_seconds,5,0.000380,0.000000,0.000521,0.000000,0.000979
gocryptfs,write,process_user_cpu_seconds,5,0.001623,0.001941,0.000918,0.000000,0.002180
gocryptfs,read,process_user_cpu_seconds,5,0.001603,0.001145,0.001168,0.000965,0.003685
Sem criptografia,write,process_kernel_cpu_seconds,5,0.082391,0.084738,0.009498,0.066304,0.091702
